440,17196
,
441,17132
,
442,17196
,
443,17084
,
444,17148
,
445,17068
,
446,17148
,
447,17116
,
448,17148
,
449,17084
,
450,17132
,
451,17052
,
452,17148
,
453,17052
,
454,17116
,
455,17068
,
456,17164
,
457,17068
,
458,17132
,
459,17084
,
460,17148
,
461,17084
,
462,17132
,
463,17116
,
464,17196
,
465,17116
,
466,17212
,
467,17100
,
468,17164
,
469,17100
,
470,17180
,
471,17100
,
472,17148
,
473,17116
,
474,17196
,
475,17132
,
476,17196
,
477,17132
,
478,17196
,
479,17100
,
480,17148
,
481,17132
,
482,17196
,
483,17212
,
484,17196
,
485,17148
,
486,17244
,
487,17164
,
488,17212
,
489,17164
,
490,17228
,
491,17180
,
492,17260
,
493,17228
,
494,17292
,
495,17196
,
496,17292
,
497,17180
,
498,17228
,
499,17164
,
500,17228
,
501,17148
,
502,17228
,
503,17116
,
504,17196
,
505,17132
,
506,17180
,
507,17132
,
508,17180
,
509,17084
,
510,17212
,
511,17084
,
512,17164
,
513,17100
,
514,17164
,
515,17084
,
516,17148
,
517,17084
,
518,17100
,
519,17100
,
520,17164
,
521,17100
,
522,17164
,
523,17164
,
524,17164
,
525,17228
,
526,17212
,
527,17180
,
528,17228
,
529,17116
,
530,17212
,
531,17116
,
532,17164
,
533,17132
,
534,17180
,
535,17100
,
536,17164
,
537,17100
,
538,17196
,
539,17116
,
540,17196
,
541,17116
,
542,17244
,
543,17164
,
544,17196
,
545,17164
,
546,17196
,
547,17148
,
548,17292
,
549,17164
,
550,17196
,
551,17164
,
552,17228
,
553,17148
,
554,17228
,
555,17196
,
556,17276
,
557,17244
,
558,17292
,
559,17228
,
560,17276
,
561,17228
,
562,17260
,
563,17132
,
564,17212
,
565,17132
,
566,17180
,
567,17164
,
568,17180
,
569,17132
,
570,17180
,
571,17116
,
572,17164
,
573,17100
,
574,17148
,
575,17084
,
576,17148
,
577,17052
,
578,17100
,
579,17052
,
580,17132
,
581,17052
,
582,17116
,
583,17052
,
584,17116
,
585,17084
,
586,17068
,
587,17084
,
588,17212
,
589,17164
,
590,17212
,
591,17148
,
592,17164
,
593,17132
,
594,17164
,
595,17100
,
596,17164
,
597,17100
,
598,17196
,
599,17116
,
600,17196
,
601,17132
,
602,17212
,
603,17148
,
604,17212
,
605,17212
,
606,17228
,
607,17180
,
608,17212
,
609,17180
,
610,17212
,
611,17164
,
612,17212
,
613,17180
,
614,17164
,
615,17164
,
616,17212
,
617,17212
,
618,17276
,
619,17196
,
620,17292
,
621,17212
,
622,17292
,
623,17180
,
624,17276
,
625,17244
,
626,17196
,
627,17116
,
628,17148
,
629,17116
,
630,17196
,
631,17100
,
632,17148
,
633,17100
,
634,17180
,
635,17052
,
636,17132
,
637,17084
,
638,17116
,
639,17068
,
640,17132
,
641,17068
,
642,17148
,
643,17052
,
644,17132
,
645,17052
,
646,17132
,
647,17052
,
648,17116
,
649,17084
,
650,17116
,
651,17100
,
652,17180
,
653,17148
,
654,17196
,
655,17116
,
656,17196
,
657,17100
,
658,17068
,
659,17084
,
660,17164
,
661,17100
,
662,17180
,
663,17100
,
664,17180
,
665,17100
,
666,17196
,
667,17148
,
668,17164
,
669,17116
,
670,17196
,
671,17148
,
672,17212
,
673,17276
,
674,17228
,
675,17180
,
676,17228
,
677,17164
,
678,17196
,
679,17148
,
680,17228
,
681,17212
,
682,17260
,
683,17244
,
684,17292
,
685,17244
,
686,17324
,
687,17180
,
688,17260
,
689,17148
,
690,17196
,
691,17132
,
692,17260
,
693,17100
,
694,17180
,
695,17100
,
696,17148
,
697,17100
,
698,17132
,
699,17084
,
700,17148
,
701,17084
,
702,17100
,
703,17068
,
704,17132
,
705,17036
,
706,17116
,
707,17052
,
708,17132
,
709,17020
,
710,17116
,
711,17020
,
712,17116
,
713,17036
,
714,17068
,
715,17068
,
716,17276
,
717,17132
,
718,17132
,
719,17116
,
720,17132
,
721,17084
,
722,17148
,
723,17084
,
724,17132
,
725,17068
,
726,17148
,
727,17084
,
728,17180
,
729,17148
,
730,17132
,
731,17132
,
732,17212
,
733,17148
,
734,17212
,
735,17164
,
736,17276
,
737,17180
,
738,17228
,
739,17180
,
740,17260
,
741,17180
,
742,17244
,
743,17180
,
744,17260
,
745,17436
,
746,17356
,
747,17292
,
748,17308
,
749,17228
,
750,17308
,
751,17180
,
752,17212
,
753,17148
,
754,17196
,
755,17116
,
756,17180
,
757,17116
,
758,17180
,
759,17068
,
760,17132
,
761,17036
,
762,17132
,
763,17084
,
764,17116
,
765,17052
,
766,17132
,
767,17068
,
768,17116
,
769,17020
,
770,17100
,
771,17020
,
772,17068
,
773,17068
,
774,17084
,
775,17036
,
776,17100
,
777,17068
,
778,17148
,
779,17116
,
780,17180
,
781,17116
,
782,17180
,
783,17052
,
784,17180
,
785,17084
,
786,17148
,
787,17148
,
788,17148
,
789,17084
