0.104,0.0833,0.333,0.323,0.0725,0.1
0.177,0.148,0.222,0.421,0.0876,0.1
0.282,0.0648,0.111,0.531,0.132,0.1
0.14,0.102,0.889,0.375,0.086,0.1
0.239,0.102,0.778,0.488,0.12,0.1
0.217,0.102,0.333,0.466,0.121,0.1
0.268,0.12,0.778,0.518,0.2,0.1
0.183,0.0926,0.444,0.427,0.0916,0.1
0.27,0.0833,0.222,0.52,0.18,0.1
0.222,0.139,0.444,0.471,0.146,0.1
0.269,0.0741,0.889,0.519,0.161,0.1
0.542,0.111,0.222,0.736,0.314,1
0.662,0.0833,0.222,0.814,0.347,1
0.999,0.0648,0.333,0.999,0.695,1
0.639,0.0741,0.333,0.8,0.353,1
0.78,0.0833,0.556,0.883,0.359,1
0.618,0.111,0.667,0.786,0.317,1
0.45,0.0926,0.222,0.671,0.256,1
0.838,0.102,0.333,0.915,0.623,1
0.581,0.111,0.444,0.762,0.341,1
0.638,0.0648,0.333,0.799,0.515,1
0.556,0.0926,0.111,0.746,0.248,1
0.818,0.0741,0.222,0.904,0.555,1
0.727,0.0926,0.111,0.852,0.344,1
0.632,0.111,0.111,0.795,0.27,1
0.719,0.111,0.444,0.848,0.48,1
0.399,0.0926,0.333,0.632,0.234,1
0.153,0.0833,0.667,0.391,0.0856,1
0.172,0.0926,0.333,0.415,0.0939,1
0.455,0.0926,0.222,0.674,0.23,1
0.684,0.0741,0.222,0.827,0.637,1
0.575,0.148,0.667,0.758,0.337,1
0.476,0.0833,0.111,0.69,0.21,1
0.417,0.102,0.667,0.646,0.212,1
0.552,0.0926,0.222,0.743,0.322,1
0.405,0.0926,0.444,0.636,0.266,1
0.379,0.0926,0.222,0.615,0.196,1
0.452,0.0648,0.667,0.673,0.273,1
0.509,0.0833,0.333,0.713,0.358,1
0.571,0.0741,0.333,0.756,0.404,1
0.718,0.0556,0.222,0.848,0.423,1
0.581,0.0833,0.111,0.763,0.302,1
0.596,0.12,0.111,0.772,0.284,1
0.749,0.102,0.111,0.865,0.36,1
0.318,0.157,0.111,0.564,0.133,1
0.734,0.0833,0.556,0.857,0.52,1
0.472,0.0926,0.111,0.687,0.222,1
0.719,0.111,0.111,0.848,0.362,1
0.485,0.12,0.667,0.696,0.291,1
0.518,0.0926,0.333,0.72,0.363,1
0.507,0.0648,0.111,0.712,0.267,1
0.224,0.0741,0.111,0.473,0.115,0.16
0.142,0.0926,0.222,0.376,0.109,0.16
0.169,0.148,0.222,0.411,0.113,0.16
